CATEGORY_TEXT	CONT_SCOPE	FUNC_LOC	ITEM_TITLE	ITEM_DESCRIPTION	STARTUP
IT	X	N/A	power	Permanent power is not ready	Y
IT	X	N/A	Data Box	The data face plate should match the data box as explained in the scope and drawing# CA-083733	N
Electrical	X	N/A	Cable duct bank	Scop of Work	Y
Electrical	X	N/A	Cable Stub Ups	Complete the Stub Ups Installation near SS-20 at Pipe Rack 3 for Incomer cables of 369-019-SG-301. (Reference Drawing #369-P-RA-2025	Y
Electrical	X	N/A	Cable Stub Ups	Complete the Stub Ups Installation near PIB-019 at Pipe Rack 3 for Incomer cables of 369-019-SG-301. (Reference Drawing #369-P-CB-08	Y
Electrical	X	N/A	Cable Stub Ups	Complete the Stub Ups Installation near SS-19 for Incomer cables of 369-019-SG-301. (Reference Drawing #369-P-CB-083031-002-0A1)	Y
Electrical	X	N/A	Cable Tray System	Scop of Work	Y
Electrical	X	N/A	Grounding System	Scop of Work	Y
Electrical	X	N/A	Grounding System	Complete the grounding Continuity Testing for Cable Tray in pipe rack area for incomer power cables of 369-019-SG-301. (Reference Dr	Y
Electrical	X	N/A	Grounding System	Complete the grounding Torque Testing for Cable Tray in pipe rack area for incomer power cables of 369-019-SG-301. (Reference Drawin	Y
Electrical	X	N/A	Cable Tray System	Complete the identification for Cable Tray in pipe rack area for incomer power cables of 369-019-SG-301. (Reference Drawing #369-P-C	N
Electrical	X	N/A	Cable Tray System	Scop of Work	N
DCS	X	N/A	Cabinet Layout	As per PMT the cabinets should be in sequence right to left numbering.	Y
Electrical	X	N/A	Cable Tray System	Scop of Work	N
Electrical	X	N/A	Cable Tray System	Scop of Work	Y
Electrical	X	N/A	Grounding System	Scop of Work	Y
Electrical	X	N/A	Grounding System	Complete the grounding Continuity Testing for Cable Tray, outside of SS-19 for incomer power cables of 369-019-SG-301. (Reference Dr	Y
Electrical	X	N/A	Grounding System	Complete the grounding Torque Testing for Cable Tray, outside of SS-19 for incomer power cables of 369-019-SG-301. (Reference Drawin	Y
Electrical	X	N/A	Cable Tray System	Complete the identification for Cable Tray, Inside and outside of SS-19 power cables.. (Reference Drawing #369-P-CB-083030-001-0A1)	N
Electrical	X	N/A	Cable Tray System	Complete the Cable Tray cover installation outside of SS-19 for incomer power cables of 369-019-SG-301. (Reference Drawing #369-P-CB	N
Electrical	X	N/A	Grounding System	Complete the Grounding and Bonding Installation for Cable Tray Support Structure of Incomer Power Cables of 369-019-SG-301. (Referen	Y
Electrical	X	N/A	Grounding System	Complete the Grounding Continuity Testing for Cable Tray Support Structure of Incomer Power Cables of 369-019-SG-301. (Reference Dra	Y
Electrical	X	N/A	Grounding System	Scop of Work	Y
DCS	X	N/A	Grounding	All cable glands grounding in IRP cabinets are daisy chained. AS per SAES-J-902 section 14.3.2.2 Shield drain wires shall not be dai	Y
Electrical	X	N/A	MCT Installation	Scop of Work	Y
Electrical	X	N/A	Electrical Power Cable	Complete the Cable Laying /Pulling with Tag No# PC-14275 From 13.8kV SWITCHGEAR, SG-102 (SS 20) To 369-019-SG-301. (Reference Drawin	Y
Electrical	X	N/A	Electrical Power Cable	Scop of Work	Y
Electrical	X	N/A	Cable Ties Requirments	Provide Cable Ties As Per NEMA V2; Sec 5.6 (a) and Figure 5.7 and 5.8 for MV Cable # PC-14275 and PC# 14276 From SG-102 (SS 20) To 3	N
Electrical	X	N/A	Electrical Power Cable	Complete the Cable Screen test with Tag no# PC-14275 From 13.8kV SWITCHGEAR, SG-102 (SS 20) To 369-019-SG-301. (Reference Drawing #3	Y
Electrical	X	N/A	Electrical Power Cable	Scop of Work	Y
Electrical	X	N/A	Cable Trench	Scop of Work	Y
Electrical	X	N/A	Cable Trench	Scop of Work	N
Electrical	X	N/A	Electrical Power Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Power Cable	Complete the Cable Hi Pot with Tag No# PC-14275 From 13.8kV SWITCHGEAR, SG-102 (SS 20) To 369-019-SG-301. (Reference Drawing #369-P-	Y
